attribute,mean,max,min
bpol,38.370044866421495,247.965709,0.0
ATSc1,0.7001100245098046,7.011197,0.0
ATSm5,51.71408499080885,407.642377,0.0
nHBAcc,6.379901960784316,60.0,0.0
ATSm2,33.31832267708328,201.24035,0.0
maccs_322_035,0.5661764705882353,1.0,0.0
nB,28.758578431372534,176.0,0.0
MW,387.55185144056384,2446.198955,17.00274
maccs_k132,0.5912990196078431,1.0,0.0
apol,61.480370574754836,366.140291,1.468793
pattern_c44,0.49203431372549017,1.0,0.0
TopoPSA,102.97335171568615,965.2,0.0
maccs_322_028,0.6605392156862745,1.0,0.0
pattern_c88,0.6605392156862745,1.0,0.0
ATSc5,-0.05115896507352939,3.054225,-3.357506
pattern_c86,0.7849264705882353,1.0,0.0
maccs_322_027,0.7849264705882353,1.0,0.0
nHBDon,2.8382352941176467,34.0,0.0
ATSm4,53.860832400735276,378.682984,0.0
maccs_322_017,0.5422794117647058,1.0,0.0
pubchem_f340,0.39215686274509803,1.0,0.0
ATSm1,34.80684448651963,254.960713,1.774469
ATSm3,48.25158931004907,298.747967,0.0
maccs_k155,0.8504901960784313,1.0,0.0
pattern_c89,0.6446078431372549,1.0,0.0
pattern_c34,0.6446078431372549,1.0,0.0
maccs_322_034,0.6446078431372549,1.0,0.0
maccs_322_044,0.6795343137254902,1.0,0.0
maccs_322_257,0.5814950980392157,1.0,0.0
pubchem_f572,0.3474264705882353,1.0,0.0
pubchem_f003,0.6825980392156863,1.0,0.0
carbonyl,0.5741421568627451,1.0,0.0
AMR,100.4979493872547,512.0106,0.0
_13-tautomerizable,0.6274509803921569,1.0,0.0
pattern_c38,0.6274509803921569,1.0,0.0
maccs_k146,0.5557598039215687,1.0,0.0
pubchem_f407,0.5680147058823529,1.0,0.0
hydroxyl,0.5680147058823529,1.0,0.0
maccs_k090,0.47120098039215685,1.0,0.0
maccs_k139,0.5790441176470589,1.0,0.0
pubchem_f309,0.5790441176470589,1.0,0.0
aliphatic alcohol,0.3161764705882353,1.0,0.0
secondary alcohol,0.31433823529411764,1.0,0.0
maccs_k091,0.4736519607843137,1.0,0.0
pubchem_f618,0.5367647058823529,1.0,0.0
maccs_k131,0.47181372549019607,1.0,0.0
maccs_322_059,0.8903186274509803,1.0,0.0
maccs_k104,0.4479166666666667,1.0,0.0
pubchem_f021,0.4105392156862745,1.0,0.0
maccs_k140,0.4105392156862745,1.0,0.0
maccs_k128,0.5490196078431373,1.0,0.0
pubchem_f347,0.5337009803921569,1.0,0.0
pubchem_f353,0.8590686274509803,1.0,0.0
maccs_322_061,0.7297794117647058,1.0,0.0
nRotB,7.579656862745095,81.0,0.0
MLogP,2.906311274509805,7.29,-2.06
maccs_322_051,0.35049019607843135,1.0,0.0
