attribute,mean,max,min
pubchem_f619,0.46017156862745096,1.0,0.0
pattern_c73,0.45955882352941174,1.0,0.0
pubchem_f585,0.46875,1.0,0.0
pubchem_f604,0.46875,1.0,0.0
pubchem_f579,0.46875,1.0,0.0
pubchem_f678,0.46875,1.0,0.0
pattern_c77,0.44669117647058826,1.0,0.0
pubchem_f521,0.47181372549019607,1.0,0.0
pubchem_f471,0.47181372549019607,1.0,0.0
pattern_c71,0.47181372549019607,1.0,0.0
pubchem_f372,0.47181372549019607,1.0,0.0
pubchem_f553,0.47181372549019607,1.0,0.0
pattern_c76,0.44424019607843135,1.0,0.0
pubchem_f635,0.4742647058823529,1.0,0.0
pubchem_f669,0.4742647058823529,1.0,0.0
pubchem_f596,0.47855392156862747,1.0,0.0
pubchem_f609,0.47855392156862747,1.0,0.0
pubchem_f571,0.4834558823529412,1.0,0.0
pubchem_f665,0.5159313725490197,1.0,0.0
pubchem_f371,0.4852941176470588,1.0,0.0
pubchem_f565,0.5202205882352942,1.0,0.0
pubchem_f385,0.5073529411764706,1.0,0.0
pattern_c75,0.5079656862745098,1.0,0.0
pubchem_f256,0.5220588235294118,1.0,0.0
maccs_k162,0.522671568627451,1.0,0.0
aromatic,0.522671568627451,1.0,0.0
nAtomP,7.71936274509804,34.0,0.0
pubchem_f356,0.5177696078431373,1.0,0.0
meta_substituted_ring,0.5091911764705882,1.0,0.0
pubchem_f357,0.4221813725490196,1.0,0.0
ALogP,-0.8091128063725477,11.273,-28.3519
para_substituted_ring,0.5110294117647058,1.0,0.0
maccs_k144,0.5098039215686274,1.0,0.0
maccs_322_015,0.5098039215686274,1.0,0.0
ortho_substituted_ring,0.5079656862745098,1.0,0.0
pubchem_f634,0.24387254901960784,1.0,0.0
pubchem_f608,0.2971813725490196,1.0,0.0
maccs_k125,0.33026960784313725,1.0,0.0
pubchem_f258,0.3272058823529412,1.0,0.0
ATSm4,53.860832400735276,378.682984,0.0
pattern_c69,0.39215686274509803,1.0,0.0
tertiary aliph amine,0.1133578431372549,1.0,0.0
XLogP,2.3193351715686266,23.399,-19.634
pattern_c72,0.3866421568627451,1.0,0.0
maccs_k107,0.12745098039215685,1.0,0.0
pattern_c81,0.36703431372549017,1.0,0.0
pattern_c13,0.12867647058823528,1.0,0.0
organohalide,0.12867647058823528,1.0,0.0
maccs_k156,0.5153186274509803,1.0,0.0
pubchem_f391,0.47671568627450983,1.0,0.0
maccs_k134,0.12990196078431374,1.0,0.0
halide,0.12990196078431374,1.0,0.0
pattern_c83,0.3602941176470588,1.0,0.0
pattern_c67,0.4074754901960784,1.0,0.0
pattern_c74,0.3700980392156863,1.0,0.0
pubchem_f601,0.20036764705882354,1.0,0.0
pubchem_f286,0.5202205882352942,1.0,0.0
pubchem_f015,0.5208333333333334,1.0,0.0
maccs_k161,0.5208333333333334,1.0,0.0
nitrogen_atom,0.5208333333333334,1.0,0.0
pattern_c79,0.3639705882352941,1.0,0.0
pattern_c80,0.3584558823529412,1.0,0.0
maccs_k085,0.23284313725490197,1.0,0.0
pubchem_f392,0.23284313725490197,1.0,0.0
maccs_k086,0.18382352941176472,1.0,0.0
pattern_c39,0.5134803921568627,1.0,0.0
pubchem_f352,0.5134803921568627,1.0,0.0
pubchem_f517,0.5802696078431373,1.0,0.0
nHBDon,2.8382352941176467,34.0,0.0
maccs_k122,0.49080882352941174,1.0,0.0
pubchem_f550,0.2818627450980392,1.0,0.0
pubchem_f465,0.2935049019607843,1.0,0.0
maccs_k148,0.5073529411764706,1.0,0.0
ATSm5,51.71408499080885,407.642377,0.0
cn_single_bond,0.4791666666666667,1.0,0.0
maccs_k158,0.4791666666666667,1.0,0.0
pattern_c82,0.3492647058823529,1.0,0.0
pubchem_f180,0.602328431372549,1.0,0.0
AMR,100.4979493872547,512.0106,0.0
maccs_k087,0.09375,1.0,0.0
pubchem_f666,0.21200980392156862,1.0,0.0
azacycle,0.3075980392156863,1.0,0.0
maccs_k121,0.3075980392156863,1.0,0.0
pubchem_f629,0.2622549019607843,1.0,0.0
maccs_322_060,0.4172794117647059,1.0,0.0
apol,61.480370574754836,366.140291,1.468793
pattern_c78,0.3247549019607843,1.0,0.0
pattern_c70,0.32659313725490197,1.0,0.0
unfused_benzene,0.28431372549019607,1.0,0.0
benzene,0.28431372549019607,1.0,0.0
phenoxide_para_subs,0.28431372549019607,1.0,0.0
pattern_c68,0.3131127450980392,1.0,0.0
nB,28.758578431372534,176.0,0.0
aryl halide,0.09129901960784313,1.0,0.0
